image1,image2,resnet cosine similarity
final_submissions/15/1.jpg,ai/15A_11.PNG,0.8774041533470154
final_submissions/15/1.jpg,ai/15A_12.PNG,0.8411248326301575
final_submissions/15/1.jpg,ai/15A_13.PNG,0.8571955263614655
final_submissions/15/1.jpg,ai/15A_14.PNG,0.8708949387073517
final_submissions/15/1.jpg,ai/15A_15.PNG,0.8468959331512451
final_submissions/15/1.jpg,ai/15A_16.PNG,0.8554881811141968
final_submissions/15/1.jpg,ai/15B_11.png,0.8597844839096069
final_submissions/15/1.jpg,ai/15B_12.png,0.8459033966064453
final_submissions/15/1.jpg,ai/15B_13.png,0.863811731338501
final_submissions/15/1.jpg,ai/15B_14.png,0.8294606804847717
final_submissions/15/1.jpg,ai/15B_15.png,0.8723729252815247
final_submissions/15/1.jpg,ai/15B_16.png,0.8460935354232788
final_submissions/15/1.jpg,web/15A_1.jpg,0.8400735855102539
final_submissions/15/1.jpg,web/15A_2.jpg,0.8611544966697693
final_submissions/15/1.jpg,web/15A_3.jpg,0.752052366733551
final_submissions/15/1.jpg,web/15A_4.png,0.8663859963417053
final_submissions/15/1.jpg,web/15A_5.png,0.8080015182495117
final_submissions/15/1.jpg,web/15A_6.png,0.8248967528343201
final_submissions/15/1.jpg,web/15A_7.png,0.8326784372329712
final_submissions/15/1.jpg,web/15A_8.png,0.8901573419570923
final_submissions/15/1.jpg,web/15B_1.jpg,0.7746222615242004
final_submissions/15/1.jpg,web/15B_10.jpg,0.8530316352844238
final_submissions/15/1.jpg,web/15B_2.jpg,0.8796284198760986
final_submissions/15/1.jpg,web/15B_3.jpg,0.8533620834350586
final_submissions/15/1.jpg,web/15B_4.jpg,0.822657585144043
final_submissions/15/1.jpg,web/15B_5.jpg,0.7566726207733154
final_submissions/15/1.jpg,web/15B_6.jpg,0.8444795906543732
final_submissions/15/1.jpg,web/15B_7.jpg,0.8539844751358032
final_submissions/15/1.jpg,web/15B_8.jpg,0.794611394405365
final_submissions/15/1.jpg,web/15B_9.jpg,0.8708442449569702
final_submissions/15/10.jpg,ai/15A_11.PNG,0.8538885414600372
final_submissions/15/10.jpg,ai/15A_12.PNG,0.8318869471549988
final_submissions/15/10.jpg,ai/15A_13.PNG,0.8524894714355469
final_submissions/15/10.jpg,ai/15A_14.PNG,0.8419114053249359
final_submissions/15/10.jpg,ai/15A_15.PNG,0.8353964686393738
final_submissions/15/10.jpg,ai/15A_16.PNG,0.8435542285442352
final_submissions/15/10.jpg,ai/15B_11.png,0.842279314994812
final_submissions/15/10.jpg,ai/15B_12.png,0.8341651856899261
final_submissions/15/10.jpg,ai/15B_13.png,0.8486071527004242
final_submissions/15/10.jpg,ai/15B_14.png,0.8360272645950317
final_submissions/15/10.jpg,ai/15B_15.png,0.8474145531654358
final_submissions/15/10.jpg,ai/15B_16.png,0.8386824131011963
final_submissions/15/10.jpg,web/15A_1.jpg,0.8484589457511902
final_submissions/15/10.jpg,web/15A_2.jpg,0.8790060579776764
final_submissions/15/10.jpg,web/15A_3.jpg,0.76463982462883
final_submissions/15/10.jpg,web/15A_4.png,0.8636953234672546
final_submissions/15/10.jpg,web/15A_5.png,0.8467823266983032
final_submissions/15/10.jpg,web/15A_6.png,0.812839686870575
final_submissions/15/10.jpg,web/15A_7.png,0.8546103537082672
final_submissions/15/10.jpg,web/15A_8.png,0.8420939743518829
final_submissions/15/10.jpg,web/15B_1.jpg,0.8203704357147217
final_submissions/15/10.jpg,web/15B_10.jpg,0.861507773399353
final_submissions/15/10.jpg,web/15B_2.jpg,0.9163713455200196
final_submissions/15/10.jpg,web/15B_3.jpg,0.8859559893608093
final_submissions/15/10.jpg,web/15B_4.jpg,0.8804761171340942
final_submissions/15/10.jpg,web/15B_5.jpg,0.7884177565574646
final_submissions/15/10.jpg,web/15B_6.jpg,0.8439111709594727
final_submissions/15/10.jpg,web/15B_7.jpg,0.8942397236824036
final_submissions/15/10.jpg,web/15B_8.jpg,0.8589606881141663
final_submissions/15/10.jpg,web/15B_9.jpg,0.8733645677566528
final_submissions/15/11.jpg,ai/15A_11.PNG,0.8668751418590546
final_submissions/15/11.jpg,ai/15A_12.PNG,0.864760011434555
final_submissions/15/11.jpg,ai/15A_13.PNG,0.8667983412742615
final_submissions/15/11.jpg,ai/15A_14.PNG,0.8744514286518097
