image1,image2,resnet cosine similarity
final_submissions/12/1.jpg,ai/12A_11.png,0.8578723967075348
final_submissions/12/1.jpg,ai/12A_12.png,0.8671917617321014
final_submissions/12/1.jpg,ai/12A_13.png,0.887803316116333
final_submissions/12/1.jpg,ai/12A_14.png,0.8766869902610779
final_submissions/12/1.jpg,ai/12A_15.png,0.877826452255249
final_submissions/12/1.jpg,ai/12A_16.png,0.8801512718200684
final_submissions/12/1.jpg,ai/12A_17.png,0.8698174357414246
final_submissions/12/1.jpg,ai/12A_18.png,0.8931103646755219
final_submissions/12/1.jpg,ai/12A_19.png,0.8647964596748352
final_submissions/12/1.jpg,ai/12A_20.png,0.8657435178756714
final_submissions/12/1.jpg,web/12A_1.jpg,0.7843158543109894
final_submissions/12/1.jpg,web/12A_10.jpg,0.7927133440971375
final_submissions/12/1.jpg,web/12A_2.jpg,0.8305884599685669
final_submissions/12/1.jpg,web/12A_3.jpg,0.8155105710029602
final_submissions/12/1.jpg,web/12A_4.jpg,0.8340018689632416
final_submissions/12/1.jpg,web/12A_5.jpg,0.7616652548313141
final_submissions/12/1.jpg,web/12A_6.jpg,0.8643605709075928
final_submissions/12/1.jpg,web/12A_7.jpg,0.8536393642425537
final_submissions/12/1.jpg,web/12A_8.jpg,0.8412108421325684
final_submissions/12/1.jpg,web/12A_9.jpg,0.8072098791599274
final_submissions/12/1.jpg,web/12B_1.jpg,0.8399448990821838
final_submissions/12/1.jpg,web/12B_10.jpg,0.8469676375389099
final_submissions/12/1.jpg,web/12B_2.jpg,0.80869260430336
final_submissions/12/1.jpg,web/12B_3.jpg,0.8688531517982483
final_submissions/12/1.jpg,web/12B_4.jpg,0.788619339466095
final_submissions/12/1.jpg,web/12B_5.jpg,0.903508722782135
final_submissions/12/1.jpg,web/12B_6.jpg,0.8672390282154083
final_submissions/12/1.jpg,web/12B_7.jpg,0.7749697268009186
final_submissions/12/1.jpg,web/12B_8.jpg,0.7388268858194351
final_submissions/12/1.jpg,web/12B_9.jpg,0.8480943441390991
