group,expert,innovation,aesthetics,value,surprise
24,9,3.0,3.0,2.0,2.0
24,10,5.0,5.0,4.0,4.0
24,11,3.0,3.0,3.0,2.0
24,12,4.0,3.0,4.0,4.0
24,13,4.0,4.0,5.0,4.0
24,14,2.0,2.0,2.0,1.0
24,15,3.0,1.0,2.0,2.0
24,16,3.0,3.0,3.0,2.0
24,17,4.0,4.0,4.0,3.0
24,18,4.0,4.0,3.0,3.0
24,19,1.0,1.0,1.0,1.0
24,20,3.0,2.0,3.0,2.0
24,21,2.0,3.0,4.0,2.0
24,22,4.0,4.0,4.0,3.0
24,23,2.0,2.0,2.0,3.0
24,24,2.0,2.0,2.0,2.0
24,25,3.0,3.0,3.0,2.0
24,26,4.0,3.0,3.0,3.0
24,27,4.0,2.0,3.0,3.0
24,28,4.0,3.0,4.0,3.0
24,29,4.0,5.0,5.0,4.0
24,30,5.0,4.0,5.0,4.0
24,31,4.0,3.0,2.0,2.0
24,32,4.0,2.0,3.0,4.0
24,33,4.0,4.0,4.0,3.0
25,1,1.0,1.0,2.0,1.0
25,2,3.0,2.0,3.0,3.0
25,3,3.0,3.0,3.0,3.0
25,4,2.0,3.0,3.0,3.0
25,5,1.0,1.0,1.0,1.0
25,6,4.0,4.0,4.0,4.0
25,7,3.0,3.0,3.0,3.0
25,8,1.0,1.0,2.0,1.0
25,9,2.0,2.0,2.0,2.0
25,10,3.0,3.0,3.0,2.0
25,11,3.0,3.0,3.0,2.0
25,12,3.0,3.0,3.0,2.0
25,13,1.0,1.0,1.0,2.0
25,14,1.0,2.0,2.0,3.0
25,15,2.0,1.0,2.0,1.0
25,16,3.0,3.0,3.0,2.0
25,17,2.0,2.0,2.0,3.0
25,18,4.0,4.0,3.0,3.0
25,19,1.0,1.0,1.0,1.0
25,20,1.0,1.0,1.0,1.0
25,21,3.0,4.0,5.0,3.0
25,22,5.0,4.0,4.0,4.0
25,23,3.0,3.0,3.0,3.0
25,24,4.0,3.0,4.0,3.0
25,25,2.0,2.0,3.0,2.0
25,26,2.0,2.0,2.0,2.0
25,27,3.0,3.0,3.0,4.0
25,28,3.0,2.0,3.0,3.0
25,29,3.0,3.0,3.0,1.0
25,30,2.0,1.0,2.0,1.0
25,31,1.0,1.0,1.0,1.0
25,32,4.0,3.0,,3.0
25,33,2.0,2.0,2.0,2.0
26,1,3.0,3.0,3.0,2.0
26,2,3.0,3.0,3.0,3.0
26,3,4.0,4.0,4.0,4.0
26,4,4.0,5.0,4.0,4.0
26,5,4.0,5.0,4.0,4.0
26,6,5.0,5.0,4.0,4.0
26,7,4.0,3.0,3.0,3.0
26,8,3.0,3.0,3.0,2.0
26,9,4.0,4.0,3.0,4.0
26,10,5.0,5.0,5.0,5.0
26,11,3.0,3.0,3.0,2.0
26,12,3.0,3.0,3.0,2.0
26,13,4.0,4.0,4.0,4.0
26,14,1.0,2.0,1.0,1.0
26,15,4.0,4.0,4.0,4.0
26,16,3.0,4.0,3.0,3.0
26,17,3.0,3.0,3.0,3.0
26,18,5.0,5.0,4.0,4.0
26,19,3.0,4.0,3.0,2.0
26,20,4.0,4.0,4.0,4.0
26,21,4.0,4.0,4.0,3.0
26,22,4.0,3.0,4.0,2.0
26,23,2.0,2.0,2.0,2.0
26,24,2.0,4.0,2.0,2.0
26,25,4.0,5.0,4.0,4.0
26,26,4.0,4.0,4.0,3.0
26,27,3.0,,2.0,2.0
26,28,5.0,5.0,4.0,4.0
26,29,4.0,5.0,5.0,3.0
26,30,4.0,,2.0,3.0
26,31,2.0,1.0,2.0,1.0
26,32,4.0,4.0,3.0,4.0
26,33,3.0,3.0,3.0,2.0
27,1,2.0,1.0,1.0,1.0
27,2,4.0,4.0,4.0,4.0
27,3,4.0,4.0,4.0,3.0
27,4,3.0,3.0,3.0,3.0
27,5,3.0,3.0,3.0,3.0
27,6,4.0,4.0,4.0,4.0
27,7,3.0,4.0,3.0,3.0
27,8,1.0,1.0,2.0,1.0
27,9,3.0,4.0,2.0,2.0
27,10,2.0,2.0,3.0,2.0
27,11,3.0,3.0,3.0,2.0
27,12,5.0,4.0,4.0,4.0
27,13,4.0,4.0,4.0,4.0
27,14,2.0,2.0,2.0,1.0
27,15,2.0,2.0,2.0,2.0
27,16,3.0,2.0,2.0,1.0
27,17,3.0,2.0,3.0,3.0
27,18,4.0,4.0,4.0,3.0
27,19,2.0,2.0,3.0,1.0
27,20,3.0,2.0,3.0,3.0
27,21,3.0,3.0,3.0,2.0
27,22,3.0,4.0,3.0,4.0
27,23,2.0,2.0,2.0,2.0
27,24,4.0,3.0,4.0,2.0
27,25,3.0,3.0,3.0,3.0
27,26,4.0,3.0,4.0,3.0
27,27,2.0,1.0,4.0,1.0
27,28,4.0,2.0,3.0,3.0
27,29,4.0,4.0,4.0,3.0
27,30,4.0,2.0,3.0,3.0
27,31,2.0,2.0,2.0,1.0
27,32,5.0,5.0,4.0,4.0
27,33,4.0,4.0,4.0,3.0
