Final_Submission,Inspiration,Dino_Similarity,Color_Similarity,Contrast_Similarity,ResNet_Similarity,Source
1_data\1\final\1.png,data\1\web\1A_1.jpg,0.8235612373168218,0.4943385119789158,0.7445256383546972,0.8304739737311116,Web
1_data\1\final\1.png,data\1\web\1A_10.jpg,0.7163017956142829,0.8671282798768996,0.6245218129233926,0.6249244676661083,Web
1_data\1\final\1.png,data\1\web\1A_2.jpg,0.3700595979387138,0.7484302487646095,0.8836128186150929,0.6384481634601926,Web
1_data\1\final\1.png,data\1\web\1A_3.jpg,0.47714463709191046,0.7182728100564373,0.8690750892510498,0.5938928576153706,Web
1_data\1\final\1.png,data\1\web\1A_4.jpg,0.437571989257412,0.7768664504746177,0.8133860943896508,0.6533000392036984,Web
1_data\1\final\1.png,data\1\web\1A_5.jpg,0.4008649372633926,0.8641778194252479,0.8696069478700479,0.7514102002570335,Web
1_data\1\final\1.png,data\1\web\1A_6.jpg,0.5830563740597389,0.5725578794882296,0.7326069630894351,0.6142244665894663,Web
1_data\1\final\1.png,data\1\web\1A_7.jpg,0.627755827764332,0.6066283734737455,0.9581211945708854,0.6588788663569544,Web
1_data\1\final\1.png,data\1\web\1A_8.jpg,0.4313693886902038,0.5986835425135275,0.8729762067164983,0.5981482184760673,Web
1_data\1\final\1.png,data\1\web\1A_9.jpg,0.5186279163855219,0.7024638143627185,0.8767867379455985,0.7015849189119787,Web
1_data\1\final\1.png,data\1\web\1B_1.JPG,0.7142114411903737,0.9962019485470806,0.9539172722513131,0.7206826210738921,Web
1_data\1\final\1.png,data\1\web\1B_10.JPG,0.47051894638005837,0.6781977478575925,0.8842399237331325,0.6457513319964046,Web
1_data\1\final\1.png,data\1\web\1B_2.JPG,0.6942267561233736,0.642660183169079,0.8715948555306843,0.8133861105779977,Web
1_data\1\final\1.png,data\1\web\1B_3.JPG,0.8887209342294843,0.6228192273373196,0.8687407722719004,0.9826426013772341,Web
1_data\1\final\1.png,data\1\web\1B_4.JPG,0.6784189652666966,0.7069973624053093,0.9100093766388909,0.9101030646429296,Web
1_data\1\final\1.png,data\1\web\1B_5.JPG,0.6938878556974836,0.6431962178728574,0.8705143893264038,0.7987328511940844,Web
