Final_Submission,Inspiration,Similarity
1_1.png,1A_1.jpg,0.6222411677746533
1_1.png,1A_10.jpg,0.8866760786302944
1_1.png,1A_2.jpg,0.8002074949930426
1_1.png,1A_3.jpg,0.7750827562105314
1_1.png,1A_4.jpg,0.8152002617605829
1_1.png,1A_5.jpg,0.8811425269366486
1_1.png,1A_6.jpg,0.677705013803443
1_1.png,1A_7.jpg,0.6980620459282527
1_1.png,1A_8.jpg,0.6957832610771215
1_1.png,1A_9.jpg,0.7651926593124233
1_1.png,1B_1.JPG,0.9771746167819625
1_1.png,1B_10.JPG,0.7507927368007905
1_1.png,1B_2.JPG,0.7261240716475927
1_1.png,1B_3.JPG,0.712472374079423
1_1.png,1B_4.JPG,0.7712435221507246
1_1.png,1B_5.JPG,0.7269011879767354
1_1.png,1B_6.JPG,0.8234984351708909
1_1.png,1B_7.JPG,0.8458159034795281
1_1.png,1B_8.JPG,0.806478428995317
1_1.png,1B_9.JPG,0.594175185163359
1_1.png,1A_11.png,0.2957667286414972
1_1.png,1A_12.png,0.2957667286414972
1_1.png,1A_13.png,0.2726164554378324
1_1.png,1B_11.png,0.7413484454981062
1_1.png,1B_12_1.png,0.49675649779870834
1_1.png,1B_12_2.png,0.7409698491548582
1_1.png,1B_12_3.png,0.5045421752774361
1_1.png,1B_12_4.png,0.4652076910674334
1_1.png,1B_13_1.png,0.7900124272417656
1_1.png,1B_13_2.png,0.8044300670635338
1_1.png,1B_13_3.png,0.7413213240821038
1_1.png,1B_13_4.png,0.8495819724650201
1_1.png,1B_14.png,0.6905772220064278
1_1.png,1B_15_1.png,0.7547448100608058
1_1.png,1B_15_2.png,0.6793183285489576
1_1.png,1B_15_3.png,0.7328284615828065
1_1.png,1B_15_4.png,0.6174250845749922
1_1.png,1B_16_1.png,0.7973329288188067
1_1.png,1B_16_2.png,0.8298033759519851
1_1.png,1B_16_3.png,0.787110776966534
1_1.png,1B_16_4.png,0.6148409951542364
1_1.png,1B_17_1.png,0.7517699848942766
1_1.png,1B_17_2.png,0.7510731623411038
1_1.png,1B_17_3.png,0.7393581398112136
1_1.png,1B_17_4.png,0.6729949562218493
1_1.png,1B_18_1.png,0.6827541568488202
1_1.png,1B_18_2.png,0.7300186528016976
1_1.png,1B_18_3.png,0.5919429608494287
1_1.png,1B_18_4.png,0.7320677268154812
1_2.png,1A_1.jpg,0.7235046898305325
1_2.png,1A_10.jpg,0.9303275675207817
1_2.png,1A_2.jpg,0.9071609809967445
1_2.png,1A_3.jpg,0.8714454917704688
1_2.png,1A_4.jpg,0.8513647426008928
1_2.png,1A_5.jpg,0.9018372999041095
1_2.png,1A_6.jpg,0.7511555566364743
1_2.png,1A_7.jpg,0.8215331161330377
1_2.png,1A_8.jpg,0.7895772315882943
1_2.png,1A_9.jpg,0.9038274960327017
1_2.png,1B_1.JPG,0.8125652580480247
1_2.png,1B_10.JPG,0.871147635191748
1_2.png,1B_2.JPG,0.8478327939636539
1_2.png,1B_3.JPG,0.7935296827355881
