final_photo,inspiration,similarity
data\final_submissions\1\1.png,data\ai\1A_11.png,0.692729651927948
data\final_submissions\1\1.png,data\ai\1A_12.png,0.692729651927948
data\final_submissions\1\1.png,data\ai\1A_13.png,0.6942556202411652
data\final_submissions\1\1.png,data\ai\1B_11.png,0.7300074398517609
data\final_submissions\1\1.png,data\ai\1B_12_1.png,0.7252625823020935
data\final_submissions\1\1.png,data\ai\1B_12_2.png,0.7325419932603836
data\final_submissions\1\1.png,data\ai\1B_12_3.png,0.708637148141861
data\final_submissions\1\1.png,data\ai\1B_12_4.png,0.6962890326976776
data\final_submissions\1\1.png,data\ai\1B_13_1.png,0.709705650806427
data\final_submissions\1\1.png,data\ai\1B_13_2.png,0.6879500150680542
data\final_submissions\1\1.png,data\ai\1B_13_3.png,0.6673214733600616
data\final_submissions\1\1.png,data\ai\1B_13_4.png,0.7396498471498489
data\final_submissions\1\1.png,data\ai\1B_14.png,0.6825273633003235
data\final_submissions\1\1.png,data\ai\1B_15_1.png,0.6636142581701279
data\final_submissions\1\1.png,data\ai\1B_15_2.png,0.6794649660587311
data\final_submissions\1\1.png,data\ai\1B_15_3.png,0.6840094774961472
data\final_submissions\1\1.png,data\ai\1B_15_4.png,0.806387186050415
data\final_submissions\1\1.png,data\ai\1B_16_1.png,0.6710870265960693
data\final_submissions\1\1.png,data\ai\1B_16_2.png,0.7017593383789062
data\final_submissions\1\1.png,data\ai\1B_16_3.png,0.6828833520412445
data\final_submissions\1\1.png,data\ai\1B_16_4.png,0.7090249061584473
data\final_submissions\1\1.png,data\ai\1B_17_1.png,0.6609882414340973
data\final_submissions\1\1.png,data\ai\1B_17_2.png,0.6803368031978607
data\final_submissions\1\1.png,data\ai\1B_17_3.png,0.6629373729228973
data\final_submissions\1\1.png,data\ai\1B_17_4.png,0.688773512840271
data\final_submissions\1\1.png,data\ai\1B_18_1.png,0.6917068213224411
data\final_submissions\1\1.png,data\ai\1B_18_2.png,0.6639971137046814
data\final_submissions\1\1.png,data\ai\1B_18_3.png,0.6928293108940125
data\final_submissions\1\1.png,data\ai\1B_18_4.png,0.69553342461586
data\final_submissions\1\1.png,data\web\1A_1.jpg,0.8549079596996307
data\final_submissions\1\1.png,data\web\1A_10.jpg,0.8071432411670685
data\final_submissions\1\1.png,data\web\1A_2.jpg,0.6529548466205597
data\final_submissions\1\1.png,data\web\1A_3.jpg,0.7006419003009796
data\final_submissions\1\1.png,data\web\1A_4.jpg,0.6830194294452667
data\final_submissions\1\1.png,data\web\1A_5.jpg,0.6666730642318726
data\final_submissions\1\1.png,data\web\1A_6.jpg,0.7478064596652985
data\final_submissions\1\1.png,data\web\1A_7.jpg,0.7677119970321655
data\final_submissions\1\1.png,data\web\1A_8.jpg,0.6802572906017303
data\final_submissions\1\1.png,data\web\1A_9.jpg,0.7191152125597
data\final_submissions\1\1.png,data\web\1B_1.JPG,0.8062123656272888
data\final_submissions\1\1.png,data\web\1B_10.JPG,0.6976913511753082
data\final_submissions\1\1.png,data\web\1B_2.JPG,0.7973127961158752
data\final_submissions\1\1.png,data\web\1B_3.JPG,0.8839248418807983
data\final_submissions\1\1.png,data\web\1B_4.JPG,0.7902732789516449
data\final_submissions\1\1.png,data\web\1B_5.JPG,0.797161877155304
data\final_submissions\1\1.png,data\web\1B_6.JPG,0.6432021111249924
data\final_submissions\1\1.png,data\web\1B_7.JPG,0.6769845187664032
data\final_submissions\1\1.png,data\web\1B_8.JPG,0.7876261174678802
data\final_submissions\1\1.png,data\web\1B_9.JPG,0.7195073813199997
data\final_submissions\1\6.png,data\ai\1A_11.png,0.8911406099796295
data\final_submissions\1\6.png,data\ai\1A_12.png,0.8911406099796295
data\final_submissions\1\6.png,data\ai\1A_13.png,0.8857492804527283
data\final_submissions\1\6.png,data\ai\1B_11.png,0.8976542353630066
data\final_submissions\1\6.png,data\ai\1B_12_1.png,0.8844105899333954
data\final_submissions\1\6.png,data\ai\1B_12_2.png,0.8982810080051422
data\final_submissions\1\6.png,data\ai\1B_12_3.png,0.8925599455833435
data\final_submissions\1\6.png,data\ai\1B_12_4.png,0.8879810571670532
data\final_submissions\1\6.png,data\ai\1B_13_1.png,0.8714122176170349
